resolution,aspect_ratio,orientation,scale,raw_width_after_scale,raw_height_after_scale,output_width,output_height,width_delta,height_delta,rounded_axes
4K,21:9,Landscape,1.8,2844.444444,1200.000000,2848,1200,3.555556,0.000000,width
4K,21:9,Landscape,1.9,2694.736842,1136.842105,2688,1136,-6.736842,-0.842105,width+height
4K,21:9,Landscape,2.0,2560.000000,1080.000000,2560,1088,0.000000,8.000000,height
4K,21:9,Portrait,1.1,1963.636364,4654.545455,1968,4656,4.363636,1.454545,width+height
4K,21:9,Portrait,1.2,1800.000000,4266.666667,1792,4272,-8.000000,5.333333,width+height
4K,21:9,Portrait,1.3,1661.538462,3938.461538,1664,3936,2.461538,-2.461538,width+height
4K,21:9,Portrait,1.4,1542.857143,3657.142857,1536,3664,-6.857143,6.857143,width+height
4K,21:9,Portrait,1.5,1440.000000,3413.333333,1440,3408,0.000000,-5.333333,height
4K,21:9,Portrait,1.6,1350.000000,3200.000000,1344,3200,-6.000000,0.000000,width
4K,21:9,Portrait,1.7,1270.588235,3011.764706,1264,3008,-6.588235,-3.764706,width+height
4K,21:9,Portrait,1.8,1200.000000,2844.444444,1200,2848,0.000000,3.555556,height
4K,21:9,Portrait,1.9,1136.842105,2694.736842,1136,2688,-0.842105,-6.736842,width+height
4K,21:9,Portrait,2.0,1080.000000,2560.000000,1088,2560,8.000000,0.000000,width
