resolution,aspect_ratio,orientation,scale,expected_target_width,expected_target_height,raw_width_after_scale,raw_height_after_scale,output_width,output_height,actual_target_width,actual_target_height,target_delta_width,target_delta_height,target_delta,rounded,rounded_axes,width_delta,height_delta
2K,1:1,Landscape,1.4,2048,2048,1462.857143,1462.857143,1456,1456,2038,2038,-10,-10,"-10W, -10H",yes,width+height,-6.857143,-6.857143
2K,1:1,Landscape,1.5,2048,2048,1365.333333,1365.333333,1360,1360,2040,2040,-8,-8,"-8W, -8H",yes,width+height,-5.333333,-5.333333
2K,1:1,Landscape,1.6,2048,2048,1280.000000,1280.000000,1280,1280,2048,2048,0,0,0,no,,0.000000,0.000000
2K,1:1,Landscape,1.7,2048,2048,1204.705882,1204.705882,1200,1200,2040,2040,-8,-8,"-8W, -8H",yes,width+height,-4.705882,-4.705882
2K,1:1,Landscape,1.8,2048,2048,1137.777778,1137.777778,1136,1136,2045,2045,-3,-3,"-3W, -3H",yes,width+height,-1.777778,-1.777778
2K,1:1,Landscape,1.9,2048,2048,1077.894737,1077.894737,1072,1072,2037,2037,-11,-11,"-11W, -11H",yes,width+height,-5.894737,-5.894737
2K,1:1,Landscape,2.0,2048,2048,1024.000000,1024.000000,1024,1024,2048,2048,0,0,0,no,,0.000000,0.000000
2K,1:1,Portrait,1.0,2048,2048,2048.000000,2048.000000,2048,2048,2048,2048,0,0,0,no,,0.000000,0.000000
2K,1:1,Portrait,1.1,2048,2048,1861.818182,1861.818182,1856,1856,2042,2042,-6,-6,"-6W, -6H",yes,width+height,-5.818182,-5.818182
2K,1:1,Portrait,1.2,2048,2048,1706.666667,1706.666667,1712,1712,2054,2054,6,6,"+6W, +6H",yes,width+height,5.333333,5.333333
2K,1:1,Portrait,1.3,2048,2048,1575.384615,1575.384615,1568,1568,2038,2038,-10,-10,"-10W, -10H",yes,width+height,-7.384615,-7.384615
2K,1:1,Portrait,1.4,2048,2048,1462.857143,1462.857143,1456,1456,2038,2038,-10,-10,"-10W, -10H",yes,width+height,-6.857143,-6.857143
2K,1:1,Portrait,1.5,2048,2048,1365.333333,1365.333333,1360,1360,2040,2040,-8,-8,"-8W, -8H",yes,width+height,-5.333333,-5.333333
2K,1:1,Portrait,1.6,2048,2048,1280.000000,1280.000000,1280,1280,2048,2048,0,0,0,no,,0.000000,0.000000
2K,1:1,Portrait,1.7,2048,2048,1204.705882,1204.705882,1200,1200,2040,2040,-8,-8,"-8W, -8H",yes,width+height,-4.705882,-4.705882
2K,1:1,Portrait,1.8,2048,2048,1137.777778,1137.777778,1136,1136,2045,2045,-3,-3,"-3W, -3H",yes,width+height,-1.777778,-1.777778
2K,1:1,Portrait,1.9,2048,2048,1077.894737,1077.894737,1072,1072,2037,2037,-11,-11,"-11W, -11H",yes,width+height,-5.894737,-5.894737
2K,1:1,Portrait,2.0,2048,2048,1024.000000,1024.000000,1024,1024,2048,2048,0,0,0,no,,0.000000,0.000000
2K,2:3,Landscape,1.0,2560,1712,2560.000000,1712.000000,2560,1712,2560,1712,0,0,0,no,,0.000000,0.000000
2K,2:3,Landscape,1.1,2560,1712,2327.272727,1556.363636,2320,1552,2552,1707,-8,-5,"-8W, -5H",yes,width+height,-7.272727,-4.363636
2K,2:3,Landscape,1.2,2560,1712,2133.333333,1426.666667,2128,1424,2554,1709,-6,-3,"-6W, -3H",yes,width+height,-5.333333,-2.666667
