index,resolution,aspect_ratio,orientation,scale,expected_output_width,expected_output_height,actual_output_width,actual_output_height,output_ok,expected_target_width,expected_target_height,actual_target_width,actual_target_height,target_ok,prompt_id
161,2K,3:4,Landscape,1.6,1600,1200,1600,1200,true,2560,1920,2560,1920,true,b472fb36-852d-4329-8665-380a2b8c6f0a
162,2K,3:4,Landscape,1.7,1512,1136,1512,1136,true,2570,1931,2570,1931,true,626277b9-01ea-4482-b6a1-fca6d2f7a48d
163,2K,3:4,Landscape,1.8,1424,1072,1424,1072,true,2563,1930,2563,1930,true,7c980f2f-4f6f-44e3-a397-5a138ff45bc9
164,2K,3:4,Landscape,1.9,1352,1016,1352,1016,true,2569,1930,2569,1930,true,55a6531c-54c2-43c8-8889-2c0bfb6b7d18
165,2K,3:4,Landscape,2.0,1280,960,1280,960,true,2560,1920,2560,1920,true,1ae5bbcf-659b-406f-ba07-7ac731ae0095
166,2K,3:4,Portrait,1.0,1920,2560,1920,2560,true,1920,2560,1920,2560,true,53a3284c-f0c8-4fa9-b02c-b98b1a8e1723
167,2K,3:4,Portrait,1.1,1752,2328,1752,2328,true,1927,2561,1927,2561,true,5789b8c2-4abe-45c4-99ea-bf4f392df585
168,2K,3:4,Portrait,1.2,1600,2136,1600,2136,true,1920,2563,1920,2563,true,91fd2bd3-8769-4b66-829e-b7e6026392ef
169,2K,3:4,Portrait,1.3,1480,1976,1480,1976,true,1924,2569,1924,2569,true,d5bb90ee-81cd-4490-be3d-f613667cf053
170,2K,3:4,Portrait,1.4,1376,1832,1376,1832,true,1926,2565,1926,2565,true,964df9f9-2d8d-46ae-ac81-0523915f6be8
171,2K,3:4,Portrait,1.5,1280,1712,1280,1712,true,1920,2568,1920,2568,true,de3a0bff-b1fb-487c-96de-aed8e72efdf8
172,2K,3:4,Portrait,1.6,1200,1600,1200,1600,true,1920,2560,1920,2560,true,e5b670d6-9b0d-4dcc-a33e-f6dd43558110
173,2K,3:4,Portrait,1.7,1136,1512,1136,1512,true,1931,2570,1931,2570,true,36f5cc69-5e4e-4b97-978b-d128421668c5
174,2K,3:4,Portrait,1.8,1072,1424,1072,1424,true,1930,2563,1930,2563,true,199473cd-d7ac-49c2-ba3a-63fce9ce442b
175,2K,3:4,Portrait,1.9,1016,1352,1016,1352,true,1930,2569,1930,2569,true,d10df255-fd78-424b-9b0a-de3a3b252c2c
176,2K,3:4,Portrait,2.0,960,1280,960,1280,true,1920,2560,1920,2560,true,e459d84f-cf02-45b6-b11f-562f9e5662bc
177,2K,16:9,Landscape,1.0,2560,1440,2560,1440,true,2560,1440,2560,1440,true,7c11d8cf-4d6f-436e-bee6-29ae441b73c3
178,2K,16:9,Landscape,1.1,2328,1312,2328,1312,true,2561,1443,2561,1443,true,cfb40ca5-f571-479a-bb1f-b9a1f00801de
179,2K,16:9,Landscape,1.2,2136,1200,2136,1200,true,2563,1440,2563,1440,true,cb4eb5e8-d4e2-4b0e-9b55-f8e5a800c1d6
180,2K,16:9,Landscape,1.3,1976,1112,1976,1112,true,2569,1446,2569,1446,true,e7a4abf3-f332-4757-b1bd-0eaaaeaa6437
181,2K,16:9,Landscape,1.4,1832,1032,1832,1032,true,2565,1445,2565,1445,true,f9ef1950-e3c8-44a5-8c00-3c68373f20f6
182,2K,16:9,Landscape,1.5,1712,960,1712,960,true,2568,1440,2568,1440,true,2bde3843-2cf2-46dc-844b-54b5f7755ad9
183,2K,16:9,Landscape,1.6,1600,904,1600,904,true,2560,1446,2560,1446,true,d73fbd60-f9cd-444c-b728-6c439dee089e
184,2K,16:9,Landscape,1.7,1512,848,1512,848,true,2570,1442,2570,1442,true,7a21c25a-6b8a-4a63-99dd-8f7e7feb522f
185,2K,16:9,Landscape,1.8,1424,800,1424,800,true,2563,1440,2563,1440,true,aef39e0a-af67-4f7b-ae7d-4b1ef25e6ffd
186,2K,16:9,Landscape,1.9,1352,760,1352,760,true,2569,1444,2569,1444,true,7e2bdc9d-142d-42ed-b102-e30bee9c249d
187,2K,16:9,Landscape,2.0,1280,720,1280,720,true,2560,1440,2560,1440,true,dd8fccf8-c510-4046-9440-a74df09958f6
